"cons.1","cons.2","cons.3","cons.4","cons.5","cons.6","cons.7","cons.8","cons.9","cons.10","cons","frug","tight"
2,4,2,4,4,5,4,4,4,4,3.7,2.40740740740741,3.25
3,4,3,4,4,4,2,4,5,3,3.6,3.81481481481481,3.875
4,4,2,4,4,1,3,4,4,4,3.4,3.74074074074074,4
2,1,2,2,2,1,3,5,4,5,2.7,3.18518518518519,3.375
2,4,2,4,3,2,5,5,5,5,3.7,3.96296296296296,4.125
5,4,1,5,5,3,4,5,4,5,4.1,4.62962962962963,5
3,3,2,4,4,2,4,4,4,4,3.4,3.81481481481481,4
4,4,3,4,4,3,4,4,4,3,3.7,3.96296296296296,3.5
4,5,3,4,4,4,4,4,4,4,4,3.81481481481481,3.875
4,4,3,4,5,2,3,5,5,5,4,4.37037037037037,4.375
5,5,4,4,4,4,4,5,5,5,4.5,4.96296296296296,4.75
4,4,4,4,4,4,3,4,4,3,3.8,3.66666666666667,3.875
4,5,4,4,4,4,4,5,4,5,4.3,3.07407407407407,3.875
4,4,2,4,4,4,5,5,5,5,4.2,3.22222222222222,3
2,5,3,4,4,3,5,5,5,5,4.1,2.44444444444444,2.625
4,5,2,5,5,2,3,1,5,4,3.6,3.74074074074074,3.875
4,5,3,4,4,4,4,4,5,4,4.1,4.25925925925926,4.375
2,4,2,4,4,2,3,5,4,5,3.5,2.96296296296296,3.875
3,5,2,5,4,4,4,5,5,5,4.2,4.18518518518519,4
4,5,3,4,4,3,3,2,4,4,3.6,3.77777777777778,4.25
3,5,3,4,4,2,4,4,4,5,3.8,4.18518518518519,4.125
3,4,3,5,5,3,5,5,5,4,4.2,3.85185185185185,4
2,4,3,3,3,2,4,4,4,4,3.3,2.7037037037037,3.5
4,4,4,4,2,4,3,5,4,5,3.9,4,4
4,4,4,4,4,4,4,4,4,4,4,4.07407407407407,3.75
4,1,2,4,1,2,3,4,4,4,2.9,3.44444444444444,3.25
3,5,3,4,4,3,3,5,4,5,3.9,4.11111111111111,4
4,4,4,3,4,3,3,4,4,4,3.7,3.55555555555556,3.75
4,4,2,4,4,2,5,4,5,4,3.8,4.03703703703704,4.125
3,4,3,3,3,3,4,4,3,4,3.4,3.77777777777778,4
4,4,1,2,2,2,3,4,2,2,2.6,3.37037037037037,3.25
1,4,2,2,3,1,3,5,4,4,2.9,3.55555555555556,4
5,4,4,4,4,3,3,4,4,3,3.8,3.96296296296296,3.875
2,4,2,4,4,2,2,5,4,4,3.3,3.25925925925926,3.5
4,3,1,4,4,2,3,5,4,5,3.5,4.55555555555556,4.5
4,4,2,4,4,2,2,4,3,5,3.4,3.62962962962963,3.75
4,4,2,4,3,3,5,5,5,5,4,3,3.125
3,4,3,4,3,3,4,3,4,4,3.5,3.48148148148148,3.875
4,3,2,4,4,4,3,5,4,1,3.4,3.37037037037037,3.875
4,4,2,4,4,3,4,4,4,3,3.6,3.96296296296296,3.625
3,4,3,4,4,2,3,2,3,3,3.1,3.62962962962963,3.625
5,5,1,5,5,5,5,5,5,5,4.6,3.25925925925926,3.75
3,4,2,4,4,4,4,5,4,5,3.9,3.96296296296296,3.625
5,5,2,2,2,3,4,4,2,4,3.3,3.55555555555556,4.125
4,5,4,4,4,4,4,4,5,4,4.2,4.81481481481481,4.625
2,4,2,4,4,3,3,4,4,3,3.3,3.59259259259259,3.625
4,5,4,5,5,4,4,5,4,5,4.5,4.55555555555556,4.625
5,5,2,5,5,2,5,5,5,5,4.4,4.03703703703704,4
4,4,4,4,4,2,3,4,4,4,3.7,4,4
3,5,2,3,2,3,3,5,3,4,3.3,4.2962962962963,4
3,4,2,4,3,2,3,4,4,3,3.2,4.25925925925926,4.375
3,4,4,4,4,4,4,5,5,5,4.2,3.96296296296296,3.875
2,2,2,4,3,2,2,5,5,4,3.1,3.44444444444444,4.375
2,4,2,4,4,2,4,4,4,5,3.5,4.03703703703704,4.125
5,5,3,4,4,3,4,5,5,5,4.3,4.07407407407407,4.125
3,5,2,3,1,2,3,4,2,3,2.8,2.88888888888889,3.625
2,4,4,4,3,2,4,4,4,4,3.5,3.81481481481481,4
2,3,3,4,4,2,2,2,4,2,2.8,3.85185185185185,4.125
3,4,4,4,4,2,4,5,5,5,4,4.11111111111111,4.125
4,5,2,4,3,3,5,5,4,5,4,3.81481481481481,4
3,4,3,4,3,3,5,5,5,5,4,4.25925925925926,4.5
4,5,4,4,4,2,3,5,4,5,4,4,4.5
